id,title,times_played,content_map,content_type,genre_id,genre_name
76,Bad Ft. Tiara Thomas,81,music_video,3,11.0,Hip hop
43,Fuckin Problems,77,music_video,3,11.0,Hip hop
166,Holy Grail,60,music_video,3,11.0,Hip hop
159,All Of Me,49,music_video,3,20.0,R&B
111,Take You There,44,music_video,3,20.0,R&B
143,SAME LOVE feat. MARY LAMBERT,42,music_video,3,19.0,Reggae
53,Forever Now,38,music_video,3,20.0,R&B
157,"Triumphant ft. Rick Ross, Meek Mill",36,music_video,3,11.0,Hip hop
114,Memories Back Then,32,music_video,3,11.0,Hip hop
97,Freedom ,31,music_video,3,11.0,Hip hop
110,Good Feeling,31,music_video,3,11.0,Hip hop
73,Empire State of Mind,30,music_video,3,11.0,Hip hop
165,Picasso Baby A Performance Art Film,30,music_video,3,11.0,Hip hop
145,CAN\'T HOLD US FEAT. RAY DALTON ,28,music_video,3,11.0,Hip hop
72,Sexy Love,25,music_video,3,20.0,R&B
163,Rihanna - Hackney Concert (ft. Jay-Z),24,music_video,3,20.0,R&B
87,Marilyn Monroe,23,music_video,3,11.0,Hip hop
158,Pour It Up,23,music_video,3,20.0,R&B
107,"I\'m On ft. MDMA,Lupe Fiasco, Big Boi, Wale & Wiz Khalifa",22,music_video,3,11.0,Hip hop
99,I\'m On 2.0 ,21,music_video,3,19.0,Reggae
731,FourFiveSeconds,20,music_video,3,20.0,R&B
161,Black Mozart,19,music_video,3,20.0,R&B
169,Kanaval 2013,19,music_video,3,19.0,Reggae
91,Fire We Make,18,music_video,3,11.0,Hip hop
95,Locked Out Of Heaven,17,music_video,3,19.0,Reggae
117,Party ft. J. Cole,15,music_video,3,11.0,Hip hop
109,Wild Ones ft. Sia,13,music_video,3,11.0,Hip hop
101,"Love Me ft. Drake, Future",13,music_video,3,19.0,Reggae
77,Poetic Justice ft. Drake,12,music_video,3,11.0,Hip hop
96,Dreams And Nightmares (Intro),12,music_video,3,11.0,Hip hop
160,Work Bitch,12,music_video,3,11.0,Hip hop
85,No One,12,music_video,3,20.0,R&B
94,I Cry,11,music_video,3,11.0,Hip hop
106,Chain Music,11,music_video,3,11.0,Hip hop
113,Niggas In Paris ,11,music_video,3,11.0,Hip hop
71,Mad,11,music_video,3,20.0,R&B
127,Remember The Time,11,music_video,3,16.0,Pop
105,Ambition feat. Meek Mill & Rick Ross,10,music_video,3,11.0,Hip hop
116,The Short Film Addresses,10,music_video,3,11.0,Hip hop
698,Hardrock Flo,10,music_video,3,11.0,Hip hop
83,Like You\'ll Never See Me Again,10,music_video,3,19.0,Reggae
75,Song Cry,9,music_video,3,11.0,Hip hop
93,Hello Love,9,music_video,3,11.0,Hip hop
118,Strange Clouds remix feat. T.I. & Young Jeezy,9,music_video,3,11.0,Hip hop
119,We Up ft. Kendrick Lamar,9,music_video,3,11.0,Hip hop
122,"My Life ft. Eminem, Adam Levine",9,music_video,3,11.0,Hip hop
124,Sing For The Moment,9,music_video,3,11.0,Hip hop
82,Un-thinkable (I\'m Ready),9,music_video,3,20.0,R&B
74,Suit & Tie ft. JAY Z,8,music_video,3,11.0,Hip hop
112,Beautiful Girls,8,music_video,3,11.0,Hip hop
